"price","model","year","mileage","mpg","fuelType","engineSize","tax","transmission"
22.972,"1",2018,56.955,166,"Hybrid",1.4,135,"2"
8.59,"1",2015,62.459,70.6,"Diesel",1.6,20,"1"
19.75,"1",2019,4.116,45.6,"Petrol",1.5,145,"1"
28,"1",2019,5.53,43.5,"Hybrid",1.4,135,"2"
10.89,"1",2016,62.162,68.9,"Diesel",2,20,"1"
8,"1",2015,79.79,76.3,"Diesel",1.6,0,"1"
5.394,"1",2014,134,61.4,"Diesel",2,30,"1"
19.998,"1",2017,22.85,166,"Hybrid",1.4,0,"2"
11.298,"1",2016,35.123,70.6,"Diesel",1.6,20,"1"
10.799,"1",2015,49.913,67.3,"Diesel",1.6,20,"1"
8.99,"1",2015,84.213,62.8,"Diesel",2,30,"3"
7.793,"1",2015,106,67.3,"Diesel",2,20,"1"
30.991,"1",2019,3.569,48.7,"Diesel",2,145,"3"
11.999,"1",2016,43.656,62.8,"Diesel",2,30,"3"
9.799,"1",2015,45.758,68.9,"Diesel",2,20,"1"
9.999,"1",2014,25.092,54.3,"Diesel",2,145,"3"
13.6,"1",2015,26.944,62.8,"Diesel",2,30,"3"
28.89,"1",2019,10.249,43.5,"Hybrid",1.4,135,"3"
12.49,"1",2016,52.2,67.3,"Diesel",2,20,"1"
16.495,"1",2018,22,68.9,"Diesel",2,145,"1"
23.79,"1",2019,5.831,40.4,"Petrol",2,145,"2"
22.8,"1",2019,9.177,51.4,"Diesel",2,145,"3"
13.981,"1",2017,37.607,62.8,"Diesel",2,150,"2"
17.993,"1",2019,13.383,40.4,"Petrol",1.5,145,"2"
15.991,"1",2017,23.583,60.1,"Diesel",2,30,"2"
11.95,"1",2016,26.325,70.6,"Diesel",1.6,20,"1"
9.8,"1",2017,71.859,68.9,"Diesel",2,20,"1"
9.79,"1",2016,67.022,62.8,"Diesel",2,30,"2"
16.495,"1",2019,16.728,54.3,"Diesel",2,145,"1"
13.995,"1",2017,6,68.9,"Diesel",2,145,"1"
15.3,"1",2016,28.52,61.4,"Diesel",2,30,"3"
11.295,"1",2015,37.701,68.9,"Diesel",1.6,20,"1"
9,"1",2014,53.314,61.4,"Diesel",2,30,"1"
9.291,"1",2016,105,67.3,"Diesel",2,20,"1"
19.49,"1",2018,18.4,54.3,"Petrol",1.4,145,"1"
9.5,"1",2014,48,61.4,"Diesel",2,30,"1"
16.34,"1",2017,6,61.4,"Diesel",2,140,"3"
12.85,"1",2018,33.017,68.9,"Diesel",1.6,150,"1"
6.995,"1",2011,77.7,61.4,"Diesel",2,30,"1"
4.991,"1",2011,117,60.1,"Diesel",2,125,"1"
18.199,"1",2019,4.227,41.5,"Petrol",1.5,145,"3"
